0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468
0,4,6,7,6,41,1,4,37,2,0,0,146,8,3,6,1,0,6,8,5,7,3,5,2,11,4,0.884468248,1,12,53.06536744,2,13,2,5,12,1,1,2,4,3,6,11,4,5,4,44,3,12,4,10,4,3,3,5,6,4,6,1,4,7,3,8,12,18,15,15,3,1,0,1,1,4,6,6,36,6,10,1,6,3,12,0,5,5,7,1,4,2,0,1,1,1,25,2,3,3,31,22,1,46,29,3,6,7,5,2,3,5,2,3,2,3,11,10,1,10,2,4,7,2,2,9,3,1,4,13,13,4,4,1,10,0,1,0,33,0,0,2,1,1,17,7,4,44,33,4,1,1,7,19,2,3,18,1,1,10,0,8,3,8,1,4,14,2,7,3,6,2,6,1,0,4,3,8,3,6,11,3,8,22,0,8,2,11,0,3,7,3,4,5,2,1,5,5,4,15,9,14,14,1,12,4,10,10,2,1,18,3,3,3,0,1,11,1,3,0,2,3,4,12,3,2,1,8,5,8,8,3,3,13,3,6,7,1,1,1,3,3,2,10,6,5,4,0,1,1,2,8,8,18,6,2,13,1,1,4,6,12,3,5,8,19,7,4,2,7,2,11,2,3,5,2,12,7,4,15,2,0,15,5,4,6,12,3,11,5,1,10,16,4,8,7,3,4,1,1,35,1,5,5,2,1,54,10,0,1,28,16,10,3,1,3,0,29,4,12,2,0,1,14,2,5,6,1,1,1,5,8,12,4,11,1,2,5,7,9,1,7,1,0,13,2,3,1,0,3,10,8,17,12,1,2,1,0,7,6,6,0,160,0,5,6,0,5,1,1,0,174,0,3,0,3,14,3,0,3,9,4,13,1,1,5,23,3,143,157,2,20,8,0,2,5,2,1,2,145,1,1,10,2,8,2,0,1,2,3,16,3,0,1,8,3,17,130,1,4,1,5,7,3,6,1,3,6,6,18,1,221,4,13,39,6,1,14,50,9,4,16,1,30,6,3,0,0,1,63,42,553,0,3,4,7,14,36,1,1,4,2,46,2,3,0.058913542,13,23,12,0,2,0
0,2,3,7,4,22,1,4,14,1,1,0,66,6,3,8,0,0,3,2,2,0,2,2,1,5,0,0.892647059,1,8,52.83605284,4,5,2,0,4,0,0,1,3,0,2,4,1,1,0,26,2,10,3,6,1,0,1,3,3,2,4,2,2,4,0,1,4,15,6,5,1,0,2,1,2,0,3,5,19,1,6,0,11,0,8,0,0,0,3,0,1,0,1,1,1,0,22,1,1,1,15,11,2,26,13,0,0,2,1,0,0,10,4,0,1,1,3,6,0,8,0,2,3,0,2,2,0,4,1,3,10,4,4,0,5,0,1,1,19,0,1,1,2,0,7,3,4,26,13,0,0,4,3,8,2,1,4,2,1,7,0,2,0,2,2,2,5,1,6,3,1,2,7,4,2,4,1,4,1,5,5,3,7,4,1,9,0,3,3,2,1,2,2,4,5,0,2,2,0,6,2,9,9,0,12,1,3,3,0,0,6,1,0,2,1,3,3,1,1,1,0,1,3,2,2,1,0,1,1,3,6,2,3,7,7,5,6,1,1,1,0,1,0,7,2,1,2,0,3,1,1,3,3,5,1,0,8,2,0,2,1,6,5,0,9,13,2,2,1,4,1,2,0,1,2,3,12,4,3,8,0,2,6,2,1,8,3,2,7,0,3,1,5,3,6,6,0,2,3,3,19,1,6,2,1,1,37,0,0,1,13,9,3,2,1,2,1,5,7,7,2,2,1,11,0,1,4,1,3,0,1,0,4,2,5,3,1,0,1,3,0,2,0,1,0,3,0,0,2,0,5,3,7,4,1,3,1,2,2,1,1,0,64,1,0,0,0,1,2,2,0,90,0,0,0,1,6,1,0,2,2,3,8,1,0,5,8,2,87,86,1,5,5,0,2,0,9,3,1,78,1,0,2,1,4,0,1,1,2,1,9,2,2,0,3,4,8,74,0,4,4,1,0,1,5,1,0,2,1,14,0,115,0,6,14,1,3,11,23,3,3,6,2,11,1,0,1,0,1,24,19,305,0,1,1,5,4,20,0,2,0,0,17,1,3,0.070588235,9,10,4,1,2,0
0,0,1,1,0,8,0,2,5,0,0,0,13,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0.85625,0,0,53.87205387,0,0,0,1,1,1,1,1,0,0,1,0,1,2,0,3,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,3,1,1,5,3,1,0,1,1,0,0,1,1,1,0,1,0,0,0,6,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,4,2,0,4,4,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,2,0,0,0,5,0,0,0,6,0,1,0,0,0,0,0,0,6,3,0,0,1,0,5,2,0,2,0,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0,1,0,2,3,0,0,1,0,3,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,2,0,0,1,5,1,1,0,0,0,1,0,0,1,1,1,3,1,0,0,0,1,0,0,2,0,0,2,0,0,3,1,0,0,0,0,0,1,2,6,0,2,0,0,0,4,1,0,1,2,1,2,0,1,0,2,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,1,0,2,2,0,3,0,2,0,0,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,24,0,1,0,1,1,0,0,0,20,1,0,0,0,4,1,0,0,0,0,1,0,0,0,2,0,11,11,0,0,0,0,0,0,1,0,0,26,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,26,0,0,0,0,1,0,2,0,0,0,0,1,0,18,1,0,4,0,0,0,10,1,0,1,0,7,3,0,0,0,0,8,2,77,0,0,0,4,3,6,0,0,0,0,9,1,0,-0.0375,0,2,1,0,1,0
1,0,6,0,1,3,1,6,6,0,0,0,71,3,0,1,0,1,3,15,2,1,0,0,1,5,3,1.012953368,1,5,49.67824968,0,5,0,0,9,0,0,0,0,1,4,4,0,1,0,15,0,3,1,3,1,0,0,2,0,2,1,0,0,3,4,9,1,5,5,7,0,1,0,1,0,0,2,8,2,1,7,1,1,2,1,1,1,6,0,0,4,0,0,1,1,1,6,0,2,2,14,5,0,11,15,1,5,4,1,0,1,2,2,0,0,1,1,4,1,5,1,1,2,0,0,5,1,0,0,1,8,0,1,0,5,1,1,0,17,0,0,1,3,1,4,2,0,9,11,1,2,2,1,6,1,2,3,0,1,2,0,1,2,4,0,5,0,0,5,0,2,0,3,1,1,4,3,2,0,0,3,1,2,4,1,3,1,3,0,0,2,1,4,3,1,0,1,1,0,3,0,0,3,1,3,0,2,1,2,1,6,4,4,1,0,2,6,2,2,2,0,1,0,6,0,0,0,6,1,5,1,1,1,1,2,3,3,0,1,0,6,0,1,0,1,0,1,1,2,1,2,2,4,2,0,1,7,2,0,1,0,3,1,2,3,4,0,3,0,1,3,8,0,0,5,0,5,2,0,3,1,0,4,0,0,1,5,5,2,2,3,2,2,2,5,4,1,1,1,1,10,0,2,0,0,1,8,1,1,0,4,1,6,5,0,0,0,20,2,2,2,1,0,1,0,0,0,0,1,4,1,1,0,1,1,0,0,1,2,0,2,2,1,2,0,1,0,0,0,0,2,0,7,2,0,2,0,1,3,1,2,0,43,0,1,0,0,2,0,1,1,51,1,0,0,3,1,0,0,1,5,1,3,0,1,0,17,1,50,45,0,1,1,0,0,0,1,0,0,47,1,1,2,0,7,1,2,0,0,2,3,0,0,0,2,0,13,27,1,1,2,1,3,0,3,1,2,2,0,12,0,37,2,0,30,0,0,2,11,9,0,6,1,7,0,0,0,1,2,13,7,187,0,1,1,1,5,9,1,0,0,2,15,1,0,-0.020725389,3,3,7,2,0,0
0,0,11,0,3,2,0,2,25,1,1,0,80,11,2,7,0,0,6,22,0,2,0,1,0,3,0,0.875491481,3,14,53.31935709,6,5,0,3,6,0,2,0,0,6,6,0,1,2,2,13,1,12,3,3,2,1,0,6,1,0,2,0,0,5,4,4,4,5,19,20,0,1,1,2,0,3,3,10,4,0,1,0,2,0,4,4,3,12,5,0,5,1,1,5,0,0,22,1,9,3,15,7,0,16,36,0,1,2,4,2,1,3,5,0,1,1,4,4,1,5,1,5,4,3,0,7,0,1,0,2,14,2,5,0,14,2,1,1,17,0,1,1,0,1,4,2,1,22,19,3,1,1,0,11,1,0,1,1,1,7,0,1,3,12,1,5,5,1,5,1,0,0,4,2,0,4,0,7,0,1,5,4,2,2,0,3,0,2,2,0,1,1,7,4,2,2,4,5,3,6,4,3,15,0,3,0,3,3,2,1,5,3,0,0,3,0,1,0,1,1,1,2,3,2,1,0,0,8,1,16,8,1,1,9,3,2,4,0,1,1,11,3,0,3,0,1,2,0,0,2,2,7,6,5,2,1,8,2,3,0,0,9,1,3,2,7,6,1,1,2,2,16,1,2,5,1,10,1,0,7,3,4,16,8,2,4,3,5,4,2,1,5,3,1,4,2,3,2,5,10,10,2,3,1,1,1,12,2,7,0,7,6,6,9,0,1,4,37,5,5,2,1,0,8,0,1,2,0,5,3,3,5,3,0,1,1,3,2,7,8,2,5,1,1,1,4,0,2,0,1,6,0,4,8,0,1,1,1,1,0,1,0,101,0,0,1,0,6,1,1,5,93,2,0,0,3,5,0,3,1,3,5,14,0,2,6,29,2,74,59,2,2,6,7,2,0,6,2,1,109,1,0,2,4,13,1,2,2,1,1,9,1,0,2,0,3,30,82,2,1,2,1,3,2,7,0,0,4,1,15,0,56,1,3,20,0,1,5,32,9,0,3,1,27,0,0,0,4,1,30,8,409,0,3,1,1,6,27,1,1,0,0,37,2,1,-0.0327654,1,0,8,0,2,0
0,1,4,3,0,23,1,0,14,0,0,0,48,4,2,0,1,0,3,3,0,2,0,0,1,4,1,0.923387097,1,9,51.99161426,2,6,0,0,3,0,1,1,0,0,2,2,0,3,0,17,0,6,3,7,1,0,2,4,3,1,2,3,0,4,1,3,4,12,5,6,0,0,1,1,2,2,2,4,10,2,3,0,8,4,5,2,2,3,6,1,8,0,0,2,1,0,15,2,4,2,17,8,0,17,9,3,2,1,1,0,0,5,1,0,0,0,3,2,0,8,0,1,3,1,2,3,1,0,1,5,5,2,2,0,6,0,1,0,18,0,1,3,2,0,5,3,1,16,10,0,1,0,1,6,1,0,2,0,0,3,0,3,2,4,2,5,3,1,3,2,1,2,4,0,0,1,1,1,0,4,1,1,2,4,0,4,0,4,0,0,0,0,3,4,4,1,1,1,0,5,0,3,5,2,6,0,6,2,1,1,4,5,1,1,2,1,4,0,0,0,0,0,2,2,1,1,1,2,1,3,2,3,3,5,0,3,1,0,0,0,2,0,3,1,0,0,1,1,0,0,1,3,3,7,0,0,8,1,0,1,0,5,2,3,2,6,3,0,6,3,0,2,1,1,3,0,11,1,2,3,0,0,3,2,2,2,2,3,3,2,0,1,4,1,1,1,0,2,1,0,15,0,5,0,0,0,23,1,2,0,10,2,2,2,2,0,0,10,5,2,1,0,0,7,0,1,2,3,4,0,3,0,1,2,8,2,1,1,2,5,0,1,0,1,3,1,0,1,0,1,2,2,0,0,0,1,0,4,1,0,0,0,62,0,0,0,0,5,0,1,1,70,0,3,0,0,5,1,0,3,4,4,7,2,1,2,8,2,65,45,1,3,3,0,0,1,5,1,0,72,1,1,2,3,8,0,1,1,1,0,12,2,1,0,1,1,9,56,2,0,1,2,3,1,3,0,0,3,0,15,0,72,2,3,13,3,2,1,20,4,0,1,0,9,0,0,0,2,0,19,16,252,1,0,0,3,2,8,0,2,1,1,12,1,1,0.028225806,6,12,1,0,0,0
0,1,11,1,0,1,1,1,7,0,0,1,37,5,0,5,1,0,14,9,0,0,0,1,3,1,0,0.88372093,2,2,53.08641975,2,1,1,0,2,0,0,0,2,2,4,0,0,0,0,6,0,4,0,0,0,2,1,5,0,0,0,0,1,3,5,0,1,2,3,3,2,0,1,0,2,4,1,7,2,0,3,0,0,0,2,0,1,1,2,0,1,1,1,0,0,0,5,0,5,0,11,2,1,9,10,0,2,0,3,1,0,1,0,1,0,0,4,0,1,4,0,0,0,3,0,4,0,0,1,0,4,0,2,0,2,2,0,1,2,1,0,0,0,0,0,0,1,6,2,0,1,0,0,3,0,0,0,0,0,6,0,0,0,4,0,2,0,0,3,2,1,0,1,2,0,1,0,0,0,0,2,2,4,4,0,2,0,3,1,0,0,0,1,0,2,0,0,0,1,2,1,1,5,0,1,0,0,2,1,0,2,0,1,3,1,2,3,0,0,0,0,0,1,2,0,0,0,4,0,6,6,0,1,8,1,0,1,0,0,2,3,0,0,1,0,1,1,0,0,0,1,3,1,0,0,0,2,0,0,3,0,4,1,1,2,5,1,2,1,0,2,4,1,0,2,0,0,3,1,0,0,0,4,0,0,3,0,2,4,0,0,1,0,2,0,2,0,0,1,0,3,0,3,0,0,1,6,2,2,0,2,1,2,7,0,1,0,8,1,2,3,0,0,6,0,0,0,0,1,0,2,2,0,0,1,3,0,1,3,0,2,0,0,1,1,0,1,0,0,0,1,0,4,5,0,0,0,0,0,0,2,0,39,1,0,0,1,1,1,1,0,36,0,0,0,3,2,0,2,1,0,1,6,0,1,0,8,0,22,21,0,3,1,0,0,0,3,0,0,34,1,0,0,2,3,0,2,0,0,0,5,2,0,2,2,4,8,31,1,1,1,0,0,0,2,0,1,3,2,8,0,32,1,4,10,0,0,4,9,6,0,2,1,7,0,1,0,0,0,11,3,163,0,0,0,0,4,15,0,2,0,0,17,0,1,-0.023255814,2,0,1,1,0,0
0,2,6,1,0,4,0,7,7,0,0,1,55,5,0,3,1,0,8,8,1,0,0,0,0,5,0,0.966942149,5,3,50.84033613,2,2,0,0,6,0,0,0,1,1,2,2,0,1,0,15,1,2,3,0,0,1,0,5,0,0,0,1,0,1,1,2,4,1,7,5,1,0,0,1,0,1,1,4,0,2,3,2,6,1,2,1,1,4,0,0,2,0,1,0,0,0,10,0,3,0,19,4,0,9,16,1,3,6,1,1,0,3,2,0,0,3,2,4,2,5,1,0,1,0,2,3,2,0,1,2,3,0,2,0,5,3,0,1,11,0,1,1,2,2,4,0,1,5,8,1,3,0,0,4,1,0,1,4,0,3,1,0,1,3,2,4,1,0,5,1,0,0,1,0,0,5,2,5,1,0,8,1,4,1,0,7,0,3,0,2,2,2,4,2,0,0,5,3,2,3,7,3,4,0,3,0,0,1,1,0,6,1,2,0,0,2,0,1,1,0,0,0,0,5,1,1,0,1,1,5,1,0,1,3,0,4,4,3,2,0,0,0,0,1,1,0,1,2,0,1,2,3,0,4,1,0,3,1,0,0,1,1,0,1,6,2,2,0,0,5,0,4,0,1,5,0,5,1,0,1,0,0,3,0,0,0,5,3,2,0,0,3,1,1,5,5,3,4,1,1,17,2,3,0,1,2,11,0,0,0,0,1,3,5,0,0,0,8,2,0,0,1,1,2,0,2,1,0,0,2,0,0,2,4,4,0,1,1,2,0,0,3,0,1,1,0,1,0,1,2,0,0,3,2,0,2,0,4,1,1,1,1,54,0,1,0,1,2,0,1,2,39,2,0,1,2,1,2,1,0,0,4,4,1,1,0,11,0,47,44,3,5,0,0,1,0,0,0,2,44,0,1,2,1,4,0,2,1,0,1,2,1,0,0,4,0,11,31,2,1,1,0,0,0,5,0,0,3,1,9,1,34,0,4,16,0,0,2,12,5,0,1,2,13,0,1,0,2,0,14,13,164,0,0,0,1,4,11,1,2,0,0,17,2,0,-0.090909091,3,1,7,2,1,0
0,2,2,1,1,2,1,1,7,0,0,0,33,3,1,1,0,1,2,7,1,1,0,0,1,0,0,1.045454545,1,5,48.88888889,1,1,0,1,1,0,0,0,0,2,1,1,0,0,0,10,0,3,0,1,1,2,0,2,0,0,1,2,0,1,1,0,4,1,3,4,2,0,0,0,0,1,2,4,5,0,4,0,4,1,0,0,0,1,3,0,3,1,0,0,2,0,4,0,0,1,3,3,0,9,3,0,1,2,0,0,1,4,0,0,1,1,1,0,1,1,0,1,2,1,0,2,0,1,1,2,2,0,1,0,3,0,0,1,4,0,0,0,0,1,3,0,0,4,3,0,0,0,0,5,0,0,0,0,0,3,0,1,1,2,0,3,0,0,3,0,1,0,4,1,0,2,0,2,0,0,6,1,2,0,0,4,0,5,0,0,0,2,3,0,1,0,0,1,0,3,4,1,4,0,6,0,2,4,1,1,1,0,3,0,1,1,2,1,0,0,1,0,0,2,0,0,0,0,0,3,2,1,0,2,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,3,1,1,1,1,1,0,4,0,0,3,0,1,0,1,2,1,0,0,0,0,1,1,2,0,1,0,1,0,0,6,1,1,0,0,0,7,1,1,1,0,0,7,0,2,0,1,1,1,4,0,0,1,5,1,1,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,0,0,24,1,0,0,0,1,0,0,1,24,1,0,0,1,2,0,0,0,1,3,2,0,0,0,8,0,25,31,0,0,1,0,0,0,2,0,0,22,0,0,0,1,5,0,1,0,0,0,3,0,1,0,2,0,6,14,0,3,0,0,2,0,2,0,0,0,0,5,0,28,1,0,8,0,0,2,8,3,0,2,2,4,0,0,0,1,3,12,5,92,0,0,0,0,3,4,1,0,0,0,7,0,0,0.090909091,3,3,1,1,0,0
1,1,3,5,6,11,1,2,9,1,0,0,43,5,1,4,2,0,10,3,2,0,0,0,2,4,3,0.8125,1,6,55.17241379,1,9,1,0,1,1,0,1,0,0,2,1,2,2,0,20,2,7,1,3,0,1,0,5,3,2,4,2,0,8,1,2,3,9,6,10,0,2,2,1,0,1,3,4,9,0,6,2,6,0,7,0,3,3,2,1,6,1,0,0,2,0,21,1,2,2,15,8,0,11,20,3,3,2,4,0,2,5,0,2,0,1,4,3,1,6,3,0,1,0,1,1,3,2,1,3,8,1,3,0,7,0,1,0,18,0,0,0,0,1,4,3,1,19,13,0,1,0,1,14,1,0,6,4,0,3,0,0,1,10,2,1,5,0,3,3,1,1,4,2,0,3,2,4,0,1,11,3,2,12,3,4,1,2,2,1,1,0,4,1,5,1,3,2,4,7,1,8,12,0,4,0,3,3,0,0,6,1,1,1,1,0,3,1,3,0,1,2,0,6,0,0,0,0,1,6,4,6,1,8,1,5,2,0,0,0,0,0,3,5,0,1,2,0,1,0,4,11,2,5,0,0,13,2,0,0,0,4,0,0,7,11,3,1,2,6,0,5,4,0,2,0,9,4,1,2,3,1,6,2,1,8,5,0,5,2,1,1,2,0,9,4,1,3,2,1,5,0,4,1,0,1,22,3,3,0,6,5,1,7,1,0,3,5,7,2,0,1,2,6,0,2,2,2,1,0,2,2,5,2,1,1,1,0,5,2,0,5,2,0,5,3,0,1,1,1,6,1,3,5,1,1,1,3,3,1,2,1,81,1,1,0,0,1,1,2,0,94,0,0,0,0,3,0,1,5,2,2,4,2,0,2,8,0,58,64,2,8,4,1,3,2,5,0,1,83,0,1,0,2,2,1,0,1,4,0,4,1,0,1,5,1,8,73,1,4,1,4,2,2,3,0,4,2,0,16,0,84,1,3,9,1,1,1,23,4,0,3,1,14,1,2,0,1,1,21,11,276,1,2,2,0,6,11,0,0,0,1,19,1,0,0.108974359,3,8,3,0,0,0
